날짜,요일,경기장,날씨,평균기온,관중수,확진자 수
2019-05-07,화,서울 잠실 야구장,맑음,21.9℃,13196,0
2019-05-08,수,서울 잠실 야구장,구름많음,21.3℃,12115,0
2019-05-09,목,서울 잠실 야구장,구름조금,22.9℃,16281,0
2019-05-10,금,서울 잠실 야구장,구름조금,26.8℃,19399,0
2019-05-11,토,서울 잠실 야구장,맑음,28.3℃,25000,0
2019-05-12,일,서울 잠실 야구장,구름조금,28.9℃,21860,0
2019-05-14,화,서울 잠실 야구장,맑음,26.9℃,12127,0
2019-05-15,수,서울 잠실 야구장,구름조금,28℃,12085,0
2019-05-16,목,서울 잠실 야구장,맑음,30℃,15267,0
2019-05-17,금,서울 잠실 야구장,구름많음,28.3℃,11998,0
2019-05-18,토,서울 잠실 야구장,흐림,25.9℃,17182,0
2019-05-21,화,서울 잠실 야구장,맑음,23.8℃,10254,0
2019-05-22,수,서울 잠실 야구장,맑음,26.5℃,10082,0
2019-05-23,목,서울 잠실 야구장,맑음,29.2℃,10249,0
2019-05-24,금,서울 잠실 야구장,맑음,33.4℃,20567,0
2019-05-25,토,서울 잠실 야구장,흐림,28.6℃,25000,0
2019-05-26,일,서울 잠실 야구장,구름많음,31.1℃,22209,0
2019-05-28,화,서울 잠실 야구장,맑음,24.6℃,10353,0
2019-05-29,수,서울 잠실 야구장,맑음,26.5℃,12132,0
2019-05-30,목,서울 잠실 야구장,흐림,24.5℃,10428,0
2019-05-31,금,서울 잠실 야구장,맑음,23.3℃,10099,0
2019-06-01,토,서울 잠실 야구장,구름조금,23.7℃,18500,0
2019-06-02,일,서울 잠실 야구장,맑음,27.8℃,12536,0
2019-06-04,화,서울 잠실 야구장,구름조금,29℃,7244,0
2019-06-05,수,서울 잠실 야구장,구름조금,29.6℃,9860,0
2019-06-06,목,서울 잠실 야구장,비,25.1℃,13673,0
2019-06-07,금,서울 잠실 야구장,비,24.7℃,11436,0
2019-06-08,토,서울 잠실 야구장,구름많음,27.6℃,18312,0
2019-06-09,일,서울 잠실 야구장,비,26.5℃,10287,0
2019-06-11,화,서울 잠실 야구장,구름조금,26.1℃,10802,0
2019-06-12,수,서울 잠실 야구장,맑음,26.4℃,13909,0
2019-06-13,목,서울 잠실 야구장,구름조금,28.8℃,13705,0
2019-06-14,금,서울 잠실 야구장,구름많음,28.4℃,18227,0
2019-06-15,토,서울 잠실 야구장,비,27.4℃,23106,0
2019-06-16,일,서울 잠실 야구장,구름조금,27.2℃,17912,0
2019-06-18,화,서울 잠실 야구장,비,24.8℃,6568,0
2019-06-19,수,서울 잠실 야구장,비,25.4℃,7521,0
2019-06-20,목,서울 잠실 야구장,흐림,27.8℃,9189,0
2019-06-21,금,서울 잠실 야구장,비,26.1℃,18316,0
2019-06-22,토,서울 잠실 야구장,맑음,30.6℃,25000,0
2019-06-23,일,서울 잠실 야구장,구름조금,31℃,23321,0
2019-06-25,화,서울 잠실 야구장,맑음,32.8℃,9777,0
2019-06-26,수,서울 잠실 야구장,흐림,29.5℃,7888,0
2019-06-27,목,서울 잠실 야구장,비,31.2℃,8475,0
2019-06-28,금,서울 잠실 야구장,흐림,29℃,12213,0
2019-06-29,토,서울 잠실 야구장,비,27.7℃,16351,0
2019-06-30,일,서울 잠실 야구장,구름많음,28.5℃,14096,0
2019-07-02,화,서울 잠실 야구장,구름조금,30.1℃,10360,0
2019-07-03,수,서울 잠실 야구장,구름많음,27.4℃,11170,0
2019-07-04,목,서울 잠실 야구장,맑음,32.8℃,12362,0
2019-07-05,금,서울 잠실 야구장,구름조금,35℃,13135,0
2019-07-06,토,서울 잠실 야구장,구름조금,36.1℃,17334,0
2019-07-07,일,서울 잠실 야구장,구름많음,32.5℃,12108,0
2019-07-09,화,서울 잠실 야구장,구름조금,30℃,13844,0
2019-07-11,목,서울 잠실 야구장,비,25.9℃,11728,0
2019-07-12,금,서울 잠실 야구장,구름많음,28.7℃,15973,0
2019-07-13,토,서울 잠실 야구장,구름많음,29.7℃,21094,0
2019-07-14,일,서울 잠실 야구장,구름조금,31.6℃,14603,0
2019-07-16,화,서울 잠실 야구장,비,28.8℃,6156,0
2019-07-17,수,서울 잠실 야구장,비,29.2℃,7104,0
2019-07-18,목,서울 잠실 야구장,구름많음,32.1℃,8129,0
2019-07-27,토,서울 잠실 야구장,비,33.4℃,17926,0
2019-07-30,화,서울 잠실 야구장,비,30.8℃,9570,0
2019-07-31,수,서울 잠실 야구장,비,27.5℃,8027,0
2019-08-01,목,서울 잠실 야구장,비,30.1℃,10007,0
2019-08-03,토,서울 잠실 야구장,비,36℃,18146,0
2019-08-04,일,서울 잠실 야구장,비,34.4℃,12408,0
2019-08-06,화,서울 잠실 야구장,구름많음,36.8℃,10934,0
2019-08-07,수,서울 잠실 야구장,비,30.3℃,10137,0
2019-08-08,목,서울 잠실 야구장,구름많음,32.7℃,6334,0
2019-08-09,금,서울 잠실 야구장,구름조금,34.6℃,6126,0
2019-08-10,토,서울 잠실 야구장,구름조금,36.5℃,12450,0
2019-08-11,일,서울 잠실 야구장,비,35.7℃,8495,0
2019-08-13,화,서울 잠실 야구장,비,35.3℃,7224,0
2019-08-14,수,서울 잠실 야구장,구름조금,35.7℃,9092,0
